case_id,num_qubits,reps,circuit_file,device_file,layout_tag,level_index,routing_pressure,max_hop,initial_layout
n12_level02,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_177,2,2.818182,8,"[6, 8, 3, 9, 4, 0, 1, 5, 7, 11, 10, 2]"
n12_level03,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_006,3,3.181818,7,"[4, 11, 5, 2, 8, 10, 7, 3, 9, 6, 1, 0]"
n12_level04,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_251,4,3.454545,10,"[9, 7, 2, 1, 11, 4, 3, 10, 8, 5, 0, 6]"
n12_level05,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_253,5,3.727273,10,"[4, 11, 10, 0, 7, 5, 9, 2, 1, 6, 3, 8]"
n12_level06,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_020,6,4.000000,9,"[6, 4, 3, 9, 5, 2, 11, 8, 0, 7, 10, 1]"
n12_level07,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_221,7,5.363636,10,"[4, 11, 1, 7, 0, 10, 3, 8, 5, 9, 2, 6]"
n16_level00,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,identity,0,0.000000,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
n16_level01,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_200,1,3.733333,12,"[3, 15, 11, 8, 6, 4, 13, 9, 10, 14, 5, 7, 2, 0, 1, 12]"
n16_level02,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_018,2,4.200000,12,"[3, 14, 2, 7, 4, 13, 15, 6, 9, 5, 10, 11, 12, 8, 0, 1]"
n16_level03,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_085,3,4.533333,13,"[8, 6, 7, 3, 1, 10, 13, 11, 2, 15, 4, 0, 12, 14, 9, 5]"
n16_level04,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_019,4,4.800000,14,"[5, 13, 14, 7, 12, 11, 1, 15, 4, 6, 3, 8, 9, 0, 2, 10]"
n16_level05,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_107,5,5.133333,10,"[1, 10, 0, 3, 13, 8, 12, 4, 2, 7, 11, 6, 14, 9, 5, 15]"
n16_level06,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_143,6,5.600000,14,"[12, 7, 9, 5, 2, 13, 0, 14, 3, 11, 6, 15, 10, 8, 4, 1]"
n16_level07,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,weave,7,7.000000,15,"[0, 15, 1, 14, 2, 13, 3, 12, 4, 11, 5, 10, 6, 9, 7, 8]"
