case_id,num_qubits,reps,circuit_file,device_file,layout_tag,level_index,routing_pressure,max_hop,initial_layout,qasmtrans_time_ms,qasmtrans_depth,qasmtrans_1q,qasmtrans_2q,qasmtrans_swap_count,qasmtrans_mapping,qiskit_time_ms,qiskit_depth,qiskit_1q,qiskit_2q,depth_ratio_qt_over_qk,twoq_ratio_qt_over_qk,time_ratio_qt_over_qk
n12_level02,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_177,2,2.818182,8,"[6, 8, 3, 9, 4, 0, 1, 5, 7, 11, 10, 2]",2.219532,144,420,180,46,"[11, 2, 1, 0, 3, 4, 5, 6, 7, 8, 9, 10]",66.598309,128,330,166,1.125000,1.084337,0.033327
n12_level03,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_006,3,3.181818,7,"[4, 11, 5, 2, 8, 10, 7, 3, 9, 6, 1, 0]",2.332448,196,420,228,62,"[6, 7, 8, 9, 10, 11, 5, 4, 3, 2, 1, 0]",81.909204,200,372,194,0.980000,1.175258,0.028476
n12_level04,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_251,4,3.454545,10,"[9, 7, 2, 1, 11, 4, 3, 10, 8, 5, 0, 6]",2.866780,165,420,194,50,"[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6]",74.336277,159,334,211,1.037736,0.919431,0.038565
n12_level05,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_253,5,3.727273,10,"[4, 11, 10, 0, 7, 5, 9, 2, 1, 6, 3, 8]",2.283907,111,420,132,30,"[11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",65.776229,112,327,138,0.991071,0.956522,0.034722
n12_level06,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_020,6,4.000000,9,"[6, 4, 3, 9, 5, 2, 11, 8, 0, 7, 10, 1]",2.420157,202,420,172,44,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",84.714567,202,331,202,1.000000,0.851485,0.028568
n12_level07,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_221,7,5.363636,10,"[4, 11, 1, 7, 0, 10, 3, 8, 5, 9, 2, 6]",2.405240,102,420,143,33,"[11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",92.450702,185,341,173,0.551351,0.826590,0.026016
n16_level00,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,identity,0,0.000000,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",2.912447,97,568,60,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",87.763971,89,418,60,1.089888,1.000000,0.033185
n16_level01,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_200,1,3.733333,12,"[3, 15, 11, 8, 6, 4, 13, 9, 10, 14, 5, 7, 2, 0, 1, 12]",3.603193,233,568,405,115,"[10, 9, 8, 11, 12, 13, 15, 14, 7, 6, 0, 1, 2, 3, 4, 5]",109.061092,256,450,376,0.910156,1.077128,0.033038
n16_level02,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_018,2,4.200000,12,"[3, 14, 2, 7, 4, 13, 15, 6, 9, 5, 10, 11, 12, 8, 0, 1]",3.019030,193,568,308,84,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 5, 4, 3, 2, 1, 0]",114.021155,183,424,308,1.054645,1.000000,0.026478
n16_level03,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_085,3,4.533333,13,"[8, 6, 7, 3, 1, 10, 13, 11, 2, 15, 4, 0, 12, 14, 9, 5]",3.639318,257,568,403,115,"[0, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 5, 4, 3, 2, 1]",95.516647,176,424,286,1.460227,1.409091,0.038101
n16_level04,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_019,4,4.800000,14,"[5, 13, 14, 7, 12, 11, 1, 15, 4, 6, 3, 8, 9, 0, 2, 10]",2.856613,193,568,232,58,"[15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 0, 1, 2, 3, 4, 5]",93.456031,168,425,205,1.148810,1.131707,0.030566
n16_level05,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_107,5,5.133333,10,"[1, 10, 0, 3, 13, 8, 12, 4, 2, 7, 11, 6, 14, 9, 5, 15]",3.186154,227,568,282,76,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",122.815160,121,424,184,1.876033,1.532609,0.025943
n16_level06,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,random_143,6,5.600000,14,"[12, 7, 9, 5, 2, 13, 0, 14, 3, 11, 6, 15, 10, 8, 4, 1]",3.502152,244,568,398,114,"[10, 9, 8, 7, 6, 11, 12, 13, 14, 15, 5, 4, 3, 2, 1, 0]",101.496539,229,452,292,1.065502,1.363014,0.034505
n16_level07,16,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n16.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n16_bidirectional.json,weave,7,7.000000,15,"[0, 15, 1, 14, 2, 13, 3, 12, 4, 11, 5, 10, 6, 9, 7, 8]",2.863197,139,568,228,56,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",100.892792,129,414,228,1.077519,1.000000,0.028379
